"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","01-NOV-16","28-OCT-16","22:30:00Z","COCHRAN","Georgia","","AIRCRAFT ON LANDING ROLL, GEAR COLLAPSED, COCHRAN, GA","Incident","FAA Atlanta FSDO-11","N7810P","","","PIPER","PA24","","Unknown","Instruction","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","01-NOV-16","31-OCT-16","15:55:00Z","LAS VEGAS","Nevada","","SOUTHWEST AIRLINES FLIGHT SWA1932 BOEING 737 AIRCRAFT, REGISTRATION NOT REPORTED, ENCOUNTERED TURBULENCE, 2 FLIGHT ATTENDANTS SUSTAINED MINOR INJURIES, AIRCRAFT LANDED WITHOUT INCIDENT, LAS VEGAS, NV","Incident","FAA Las Vegas FSDO-19","SWA1932","SWA1932","SWA-Southwest Airlines","BOEING","737","","Unknown","Commercial","UNKNOWN (UNK)","","Minor","","","","","","","","2","","","","","","","","","","","","",""
"No","01-NOV-16","31-OCT-16","18:20:00Z","WINNEMUCCA","Nevada","","AIRCRAFT ON LANDING GROUND LOOPED, WINNEMUCCA, NV","Accident","FAA Reno FSDO-11","N7711L","","","CESSNA","185","","Substantial","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","12:30:00Z","BLOUNTSTOWN","Florida","","UNREGISTERED ULTRALIGHT, MAKE AND MODEL UNKNOWN, CRASHED ON TAKEOFF, BLOUNTSTOWN, FL","Accident","FAA Birmingham FSDO-09","UNREGISTERED","","","","","","Unknown","","TAKEOFF (TOF)","","Serious","","","","1","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","19:00:00Z","MERCER","Pennsylvania","","UNREGISTERED ULTRALIGHT, UNKNOWN MAKE AND MODEL,  CRASHED INTO A WOODED AREA, MERCER COUNTY, PA","Incident","FAA Allegheny PFSDO-03","UNREGISTERED","","","","","","Unknown","","UNKNOWN (UNK)","","Minor","","1","1","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","21:50:00Z","FORT LAUDERDALE","Florida","","AIRCRAFT ON LANDING GEAR COLLAPSED AND CAUGHT FIRE, THE 2 PERSONS ON BOARD EVACUTED, FIRE EXTINGUISHED, FORT LAUDERDALE, FL","Accident","FAA Miami FSDO-19","N370FE","FDX910","FDX-Federal Express","MCDONNELL DOUGLAS","MD10","","Substantial","Commercial","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","19:35:00Z","CHICAGO","Illinois","","N345AN AMERICAN AIRLINES FLIGHT AAL383 BOEING 767 AIRCRAFT DURING TAKEOFF, EXPERIENCED A RIGHT ENGINE FAILURE AND STOPPED ON THE RUNWAY, ALL PERSONS ON BOARD EVACUATED VIA SLIDES, 10 PERSONS SUSTAINED UNKNOWN INJURIES,  RIGHT SIDE OF THE AIRCRAFT WAS DAMAGED BY FIRE, CHICAGO, IL","Accident","FAA Chicago PART 121 OPS ONLY - FSDO-31","N345AN","AAL383","AAL-American Airlines","BOEING","767","","Substantial","Commercial","TAKEOFF (TOF)","","","","","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","18:52:00Z","LANSING","Michigan","","AIRCRAFT ON LANDING, GEAR COLLAPSED, LANSING, MI","Incident","FAA Grand Rapids FSDO-09","N117UM","","","CESSNA","210","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","31-OCT-16","30-OCT-16","21:45:00Z","ANCHORAGE","Alaska","","AIRCRAFT FORCE LANDED ON RAILROAD TRACKS, NEAR ANCHORAGE, ALASKA","Incident","FAA Anchorage FSDO-03","N124UA","","","CESSNA","185","","None","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","18:10:00Z","VALPARIASO","Indiana","","AIRCRAFT LANDED GEAR UP, VALPARAISO, IN","Incident","FAA South Bend FSDO-17","N1426J","","","ROCKWELL","112","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","31-OCT-16","30-OCT-16","21:00:00Z","FULLERTON","California","","AIRCRAFT ON TAKEOFF WENT OFF THE END OF THE RUNWAY INTO A DITCH, FULLERTON, CA","Incident","FAA Long Beach FSDO-05","N2045E","","","BEECH","36","","Minor","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","3","","","","","","","","",""
"No","31-OCT-16","30-OCT-16","16:36:00Z","JEFFERSONVILLE","Indiana","","AIRCRAFT ON TAKEOFF, WENT OFF THE RUNWAY INTO THE TREES, JEFFERSONVILLE, IN","Incident","FAA Indianapolis FSDO-11","N411HA","","","BEECH","100","","Unknown","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","9","","","","","","","","",""
"No","31-OCT-16","30-OCT-16","16:45:00Z","HOLLYWOOD","Florida","","AIRCRAFT LANDED SHORT OF THE RUNWAY AND THE GEAR COLLAPSED, NORTH PERRY AIRPORT, HOLLYWOOD, FL","Incident","FAA Miami FSDO-19","N45SM","","","BEECH","35","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","2","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","19:39:00Z","CHICAGO","Illinois","","N526EA ENVOY FLIGHT ENY3554 BOMBARIER CL600 AIRCRAFT STRUCK BIRDS SHORTLY AFTER TAKEOFF, RETURNED AND LANDED WITHOUT INCIDENT, NO INJURIES, DAMAGE TO THE FUSELAGE, CHICAGO, IL","Incident","FAA Chicago PART 121 OPS ONLY - FSDO-31","N526EA","ENY3554","ENVOY","BOMBARDIER","CL600 2C10","","Unknown","Commercial","UNKNOWN (UNK)","","","","","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","18:30:00Z","JAMUL","California","","AIRCRAFT ON TAKEOFF, WENT OFF THE RUNWAY INTO THE BUSHES, JAMUL, CA","Incident","FAA San Diego FSDO-09","N850VY","","","CESSNA","208","","None","","TAKEOFF (TOF)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","31-OCT-16","00:05:00Z","MANASSAS","Virginia","","AIRCRAFT CRASHED OFF THE RUNWAY AND FLIPPED OVER, MANASSAS, VA","Incident","FAA Washington FSDO-27","N781MA","","","DIAMOND","DA20","","Unknown","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","03:04:00Z","SALEM","Oregon","","AIRCRAFT ON FINAL, STRUCK BIRDS, LANDED WITHOUT INCIDENT, SALEM, OR","Incident","FAA Portland FSDO-09","N8623K","","","STINSON","108","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","01:30:00Z","BINGHAMTON","New York","","AIRCRAFT ON TAXI WENT OFF THE TAXIWAY AND STRUCK TAXIWAY LIGHTS, BINGHAMTON, NY","Incident","FAA Rochester FSDO-23","N9BF","","","LANCAIR","320","","Unknown","","TAXI (TXI)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","17:30:00Z","PHOENIX","Arizona","","AIRCRAFT ON LANDING, BOUNCED AND STRUCK THE PROPELLER, PHOENIX DEER VALLEY AIRPORT, PHOENIX, AZ","Incident","FAA Scottsdale FSDO-07","N914PA","","","PIPER","PA28","","Minor","","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
